SYMBOL,DATE,PRICE,SIZE
GOOG,20130131 13:00:00,755.67,111683
GOOG,20130131 14:00:00,756.23,113084
GOOG,20130131 15:00:00,756.47,334282
GOOG,20130201 9:00:00,761.46,598750
GOOG,20130201 10:00:00,764.95,667650
GOOG,20130201 11:00:00,769.51,584708
GOOG,20130201 12:00:00,772.68,373268
GOOG,20130201 13:00:00,774.31,355989
GOOG,20130201 14:00:00,773.63,313106
GOOG,20130201 15:00:00,775.01,701000
GOOG,20130204 9:00:00,768.48,695933
GOOG,20130204 10:00:00,767.86,428721
GOOG,20130204 11:00:00,765.21,435346
GOOG,20130204 12:00:00,763.25,219709
GOOG,20130204 13:00:00,763.17,166222
GOOG,20130204 14:00:00,760.72,441404
GOOG,20130204 15:00:00,760.46,470868
GOOG,20130205 9:00:00,764.95,466385
GOOG,20130205 10:00:00,768.73,320646
GOOG,20130205 11:00:00,769.03,220676
GOOG,20130205 12:00:00,767.59,113463
GOOG,20130205 13:00:00,767.81,144654
GOOG,20130205 14:00:00,769.17,155455
GOOG,20130205 15:00:00,766.94,382851
GOOG,20130206 9:00:00,765.75,451601
GOOG,20130206 10:00:00,770.03,487570
GOOG,20130206 11:00:00,771.82,225292
GOOG,20130206 12:00:00,771.10,109256
GOOG,20130206 13:00:00,768.05,208328
GOOG,20130206 14:00:00,766.79,197381
GOOG,20130206 15:00:00,768.47,293510
GOOG,20130207 9:00:00,774.92,679225
GOOG,20130207 10:00:00,769.98,621852
GOOG,20130207 11:00:00,766.74,232069
GOOG,20130207 12:00:00,768.45,195586
GOOG,20130207 13:00:00,770.01,216647
GOOG,20130207 14:00:00,771.41,398745
GOOG,20130207 15:00:00,773.62,442354
GOOG,20130208 9:00:00,782.60,878417
GOOG,20130208 10:00:00,784.77,546103
GOOG,20130208 11:00:00,784.91,428522
GOOG,20130208 12:00:00,783.02,255042
GOOG,20130208 13:00:00,784.19,171982
GOOG,20130208 14:00:00,785.41,241078
GOOG,20130208 15:00:00,785.41,370506
GOOG,20130211 9:00:00,778.13,569198
GOOG,20130211 10:00:00,777.65,431965
GOOG,20130211 11:00:00,778.35,182527
GOOG,20130211 12:00:00,777.10,133135
GOOG,20130211 13:00:00,777.54,167301
