SYMBOL,DATE,PRICE,SIZE
MSFT,20130130 14:00:00,27.96,4250990
MSFT,20130130 15:00:00,27.85,13438495
MSFT,20130131 9:00:00,27.82,5477250
MSFT,20130131 10:00:00,27.71,6667253
MSFT,20130131 11:00:00,27.56,5769495
MSFT,20130131 12:00:00,27.52,5105529
MSFT,20130131 13:00:00,27.55,3766589
MSFT,20130131 14:00:00,27.49,6534730
MSFT,20130131 15:00:00,27.44,12802716
MSFT,20130201 9:00:00,27.63,5460998
MSFT,20130201 10:00:00,27.81,9132241
MSFT,20130201 11:00:00,27.86,7192229
MSFT,20130201 12:00:00,27.93,4047302
MSFT,20130201 13:00:00,27.96,8057896
MSFT,20130201 14:00:00,27.93,5197474
MSFT,20130201 15:00:00,27.89,13345971
MSFT,20130204 9:00:00,27.69,7871163
MSFT,20130204 10:00:00,27.78,5337541
MSFT,20130204 11:00:00,27.71,8179617
MSFT,20130204 12:00:00,27.61,5981922
MSFT,20130204 13:00:00,27.54,4867561
MSFT,20130204 14:00:00,27.55,5234916
MSFT,20130204 15:00:00,27.49,8604501
MSFT,20130205 9:00:00,27.47,5712545
MSFT,20130205 10:00:00,27.57,5437732
MSFT,20130205 11:00:00,27.57,4339063
MSFT,20130205 12:00:00,27.56,3513307
MSFT,20130205 13:00:00,27.57,2448419
MSFT,20130205 14:00:00,27.58,3539219
MSFT,20130205 15:00:00,27.51,8424051
MSFT,20130206 9:00:00,27.44,5138576
MSFT,20130206 10:00:00,27.44,6225204
MSFT,20130206 11:00:00,27.48,4518120
MSFT,20130206 12:00:00,27.51,3891534
MSFT,20130206 13:00:00,27.36,6516703
MSFT,20130206 14:00:00,27.28,4948691
MSFT,20130206 15:00:00,27.29,7267350
MSFT,20130207 9:00:00,27.31,4634973
MSFT,20130207 10:00:00,27.20,8933939
MSFT,20130207 11:00:00,27.15,4600528
MSFT,20130207 12:00:00,27.18,3468109
MSFT,20130207 13:00:00,27.22,3097737
MSFT,20130207 14:00:00,27.21,3210383
MSFT,20130207 15:00:00,27.21,7400055
MSFT,20130208 9:00:00,27.51,7384629
MSFT,20130208 10:00:00,27.61,6675433
MSFT,20130208 11:00:00,27.58,4119295
MSFT,20130208 12:00:00,27.59,2355594
MSFT,20130208 13:00:00,27.61,2256919
MSFT,20130208 14:00:00,27.56,2579283
MSFT,20130208 15:00:00,27.50,6035429
MSFT,20130211 9:00:00,27.59,3392054
MSFT,20130211 10:00:00,27.59,5561014
MSFT,20130211 11:00:00,27.73,4328742
MSFT,20130211 12:00:00,27.70,3326034
MSFT,20130211 13:00:00,27.69,2520168
MSFT,20130211 14:00:00,27.75,3097078
MSFT,20130211 15:00:00,27.85,9407605
